						B-Baseline
			Spectral	Data	File	
		1.0				
						
						
						
						
		4096.0				
		1.0				
						
						
						
		0.01				
		-0.4				
						
		40.0				
		30.0				
		39.742022				
		50.0				
		607000.0				
		100.0				
		0.0				
		0.0				
		45.0				
		0.0				
		0.0				
		0.0				
		4.0				
4.78	90.0					-0.9080451803240095
4.79	78.0					-12.953853268661959
4.8	83.0					-7.999661356999923
4.81	73.0					-18.045469445337872
4.82	93.0					1.9087224663241784
4.83	106.0					14.862914377986215
4.84	111.0					19.817106289648265
4.85	132.0					40.771298201310316
4.86	114.0					22.725490112972352
4.87	109.0					17.679682024634417
4.88	148.0					56.63387393629645
4.89	111.0					19.588065847958504
4.9	123.0					31.542257759620554
4.91	131.0					39.49644967128259
4.92	145.0					53.45064158294464
4.93	168.0					76.40483349460669
4.94	164.0					72.35902540626873
4.95	153.0					61.31321731793078
4.96	138.0					46.26740922959283
4.97	128.0					36.221601141254865
4.98	134.0					42.175793052916916
4.99	115.0					23.129984964578966
5.0	105.0					13.084176876241003
5.01	85.0					-6.961631212096947
5.02	87.0					-5.007439300434896
5.03	68.0					-24.05324738877286
5.04	66.0					-26.09905547711081
5.05	70.0					-22.14486356544876
5.06	51.0					-41.19067165378671
5.07	54.0					-38.23647974212466
5.08	47.0					-45.28228783046262
5.09	53.0					-39.32809591880057
5.1	55.0					-37.37390400713852
5.11	48.0					-44.419712095476484
5.12	54.0					-38.465520183814434
5.13	44.0					-48.51132827215238
5.14	43.0					-49.55713636049035
5.15	53.0					-39.602944448828296
5.16	52.0					-40.648752537166246
5.17	56.0					-36.69456062550421
5.18	47.0					-45.74036871384216
5.19	56.0					-36.78617680218011
5.2	59.0					-33.83198489051807
5.21	54.0					-38.87779297885602
5.22	52.0					-40.92360106719397
5.23	66.0					-26.969409155531935
5.24	57.0					-36.015217243869884
5.25	58.0					-35.061025332207834
5.26	65.0					-28.106833420545783
5.27	46.0					-47.15264150888373
5.28	59.0					-34.198449597221696
5.29	55.0					-38.244257685559646
5.3	60.0					-33.290065773897595
5.31	53.0					-40.33587386223556
5.32	64.0					-29.38168195057351
5.33	52.0					-41.42749003891146
5.34	61.0					-32.47329812724942
5.35	71.0					-22.51910621558737
5.36	67.0					-26.56491430392532
5.37	62.0					-31.610722392263284
5.38	68.0					-25.656530480601234
5.39	77.0					-16.702338568939183
5.4	85.0					-8.748146657277147
5.41	84.0					-9.793954745615096
5.42	68.0					-25.839762833953046
5.43	79.0					-14.885570922290995
5.44	76.0					-17.93137901062896
5.45	69.0					-24.97718709896691
5.46	77.0					-17.022995187304858
5.47	66.0					-28.068803275642807
5.48	72.0					-22.11461136398077
5.49	62.0					-32.16041945231872
5.5	57.0					-37.20622754065667
5.51	75.0					-19.252035628994633
5.52	70.0					-24.297843717332583
5.53	71.0					-23.343651805670532
5.54	62.0					-32.389459894008496
5.55	73.0					-21.435267982346446
5.56	65.0					-29.481076070684395
5.57	69.0					-25.52688415902236
5.58	61.0					-33.57269224736031
5.59	63.0					-31.618500335698258
5.6	66.0					-28.664308424036207
5.61	74.0					-20.71011651237417
5.62	61.0					-33.75592460071212
5.63	61.0					-33.80173268905007
5.64	74.0					-20.84754077738802
5.65	66.0					-28.893348865725983
5.66	57.0					-37.93915695406393
5.67	77.0					-17.984965042401882
5.68	67.0					-28.030773130739846
5.69	72.0					-23.076581219077795
5.7	59.0					-36.122389307415744
5.71	53.0					-42.16819739575371
5.72	65.0					-30.214005484091658
5.73	52.0					-43.25981357242961
5.74	74.0					-21.30562166076757
5.75	79.0					-16.35142974910552
5.76	81.0					-14.39723783744347
5.77	81.0					-14.44304592578142
5.78	98.0					2.511145985880617
5.79	99.0					3.4653378975426676
5.8	102.0					6.419529809204718
5.81	126.0					30.37372172086677
5.82	138.0					42.327913632528805
5.83	158.0					62.282105544190856
5.84	157.0					61.236297455852906
5.85	187.0					91.19048936751494
5.86	197.0					101.144681279177
5.87	213.0					117.09887319083904
5.88	236.0					140.05306510250108
5.89	233.0					137.00725701416314
5.9	256.0					159.96144892582518
5.91	241.0					144.91564083748722
5.92	233.0					136.86983274914928
5.93	186.0					89.82402466081132
5.94	186.0					89.77821657247335
5.95	158.0					61.732408484135405
5.96	167.0					70.68660039579746
5.97	143.0					46.640792307459506
5.98	129.0					32.59498421912154
5.99	114.0					17.549176130783593
6.0	83.0					-13.496631957554357
6.01	86.0					-10.542440045892306
6.02	75.0					-21.58824813423027
6.03	59.0					-37.63405622256822
6.04	70.0					-26.67986431090617
6.05	63.0					-33.72567239924413
6.06	73.0					-23.77148048758208
6.07	80.0					-16.81728857592003
6.08	63.0					-33.863096664257995
6.09	65.0					-31.908904752595944
6.1	67.0					-29.954712840933894
6.11	61.0					-36.00052092927186
6.12	69.0					-28.046329017609807
6.13	77.0					-20.092137105947756
6.14	77.0					-20.137945194285706
6.15	79.0					-18.18375328262367
6.16	97.0					-0.2295613709616191
6.17	99.0					1.7246305407004314
6.18	96.0					-1.321177547637518
6.19	124.0					26.63301436402452
6.2	163.0					65.58720627568657
6.21	199.0					101.54139818734862
6.22	237.0					139.49559009901066
6.23	332.0					234.44978201067272
6.24	476.0					378.4039739223348
6.25	655.0					557.3581658339967
6.26	850.0					752.3123577456588
6.27	1238.0					1140.2665496573209
6.28	1645.0					1547.220741568983
6.29	2178.0					2080.174933480645
6.3	2744.0					2646.129125392307
6.31	3725.0					3627.083317303969
6.32	4436.0					4338.037509215631
6.33	5417.0					5318.991701127293
6.34	6453.0					6354.945893038956
6.35	7476.0					7377.900084950617
6.36	8341.0					8242.85427686228
6.37	9270.0					9171.808468773941
6.38	9606.0					9507.762660685603
6.39	10164.0					10065.716852597265
6.4	10297.0					10198.671044508928
6.41	10077.0					9978.62523642059
6.42	9944.0					9845.579428332252
6.43	9251.0					9152.533620243914
6.44	8359.0					8260.487812155576
6.45	7532.0					7433.442004067238
6.46	6524.0					6425.396195978899
6.47	5457.0					5358.350387890562
6.48	4361.0					4262.304579802224
6.49	3698.0					3599.258771713886
6.5	2775.0					2676.212963625548
6.51	2130.0					2031.16715553721
6.52	1665.0					1566.121347448872
6.53	1130.0					1031.075539360534
6.54	844.0					745.0297312721962
6.55	617.0					517.9839231838582
6.56	467.0					367.93811509552023
6.57	299.0					199.8923070071823
6.58	239.0					139.84649891884433
6.59	208.0					108.80069083050637
6.6	136.0					36.75488274216842
6.61	111.0					11.70907465383047
6.62	101.0					1.6632665654925063
6.63	106.0					6.617458477154557
6.64	115.0					15.571650388816607
6.65	119.0					19.525842300478644
6.66	96.0					-3.519965787859306
6.67	94.0					-5.565773876197255
6.68	110.0					10.388418035464795
6.69	78.0					-21.65739005287317
6.7	86.0					-13.703198141211118
6.71	82.0					-17.749006229549067
6.72	91.0					-8.794814317887017
6.73	89.0					-10.84062240622498
6.74	101.0					1.11356950543707
6.75	96.0					-3.9322385829008795
6.76	89.0					-10.978046671238843
6.77	88.0					-12.023854759576793
6.78	115.0					14.930337152085258
6.79	108.0					7.884529063747294
6.8	94.0					-6.161279024590655
6.81	119.0					18.792912887071395
6.82	104.0					3.7471047987334316
6.83	133.0					32.70129671039548
6.84	139.0					38.65548862205753
6.85	134.0					33.60968053371958
6.86	144.0					43.56387244538162
6.87	156.0					55.51806435704367
6.88	187.0					86.47225626870572
6.89	204.0					103.42644818036777
6.9	240.0					139.3806400920298
6.91	281.0					180.33483200369187
6.92	311.0					210.2890239153539
6.93	393.0					292.24321582701594
6.94	476.0					375.197407738678
6.95	567.0					466.15159965034
6.96	714.0					613.1057915620021
6.97	847.0					746.0599834736641
6.98	952.0					851.0141753853262
6.99	1092.0					990.9683672969882
7.0	1274.0					1172.9225592086502
7.01	1381.0					1279.8767511203123
7.02	1401.0					1299.8309430319744
7.03	1585.0					1483.7851349436364
7.04	1612.0					1510.7393268552985
7.05	1653.0					1551.6935187669606
7.06	1720.0					1618.6477106786226
7.07	1655.0					1553.6019025902847
7.08	1556.0					1454.5560945019467
7.09	1498.0					1396.5102864136088
7.1	1273.0					1171.4644783252706
7.11	1234.0					1132.4186702369327
7.12	1033.0					931.3728621485948
7.13	887.0					785.3270540602568
7.14	764.0					662.2812459719189
7.15	602.0					500.23543788358097
7.16	504.0					402.18962979524304
7.17	381.0					279.14382170690504
7.18	291.0					189.0980136185671
7.19	249.0					147.05220553022914
7.2	211.0					109.0063974418912
7.21	184.0					81.96058935355325
7.22	128.0					25.914781265215282
7.23	120.0					17.868973176877333
7.24	97.0					-5.176834911460617
7.25	105.0					2.777357000201434
7.26	85.0					-17.268451088136516
7.27	93.0					-9.31425917647448
7.28	94.0					-8.360067264812429
7.29	80.0					-22.40587535315038
7.3	82.0					-20.451683441488342
7.31	66.0					-36.49749152982629
7.32	79.0					-23.54329961816424
7.33	78.0					-24.589107706502205
7.34	87.0					-15.634915794840154
7.35	71.0					-31.680723883178104
7.36	78.0					-24.726531971516067
7.37	83.0					-19.772340059854017
7.38	89.0					-13.818148148191966
7.39	85.0					-17.86395623652993
7.4	82.0					-20.90976432486788
7.41	101.0					-1.9555724132058288
